Year,State,Type,Commit Number
2018,NSW,Assault,10241
2019,NSW,Assault,11009
2020,NSW,Assault,11276
2018,VIC,Assault,5911
2019,VIC,Assault,5779
2020,VIC,Assault,5513
2018,QLD,Assault,4849
2019,QLD,Assault,4859
2020,QLD,Assault,5120
2018,SA,Assault,1611
2019,SA,Assault,1550
2020,SA,Assault,1625
2018,WA,Assault,2879
2019,WA,Assault,2769
2020,WA,Assault,3048
2018,NT,Assault,360
2019,NT,Assault,354
2020,NT,Assault,370
2018,ACT,Assault,278
2019,ACT,Assault,327
2020,ACT,Assault,289
2018,NSW,Robbery,2817
2019,NSW,Robbery,2861
2020,NSW,Robbery,2482
2018,VIC,Robbery,2992
2019,VIC,Robbery,3854
2020,VIC,Robbery,2720
2018,QLD,Robbery,2195
2019,QLD,Robbery,2621
2020,QLD,Robbery,2219
2018,SA,Robbery,508
2019,SA,Robbery,603
2020,SA,Robbery,457
2018,WA,Robbery,1162
2019,WA,Robbery,1335
2020,WA,Robbery,1126
2018,NT,Robbery,131
2019,NT,Robbery,147
2020,NT,Robbery,170
2018,ACT,Robbery,223
2019,ACT,Robbery,236
2020,ACT,Robbery,152
